index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
637,hp,HP ZBook Firefly 16 G9 2023 Workstation PC,12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics,Laptop,126800,69,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
638,fujitsu,Fujitsu UH-X 4ZR1L12856,13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,Laptop,99990,73,intel,core i7,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1200,windows,2
639,hp,HP 2023 ZBook Firefly 16 G9 WUXGA Workstation,12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics,Laptop,133269,69,intel,core i7,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
640,acer,Acer Aspire Lite AL15-51 2023,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,41990,64,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
641,hp,HP 15s-fq3073TU,,Laptop,32990,46,intel,pentium,4,4,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1366,768,windows,1
642,hp,HP ZBook Firefly 16 G9 2023 Workstation,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics,Laptop,120449,67,intel,core i5,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
643,asus,Asus ROG Zephyrus G14 GA402NJ-L8094WS,AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,129990,71,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,14,2560,1600,windows,1
644,lg,LG UltraPC 16 16U70R-G.AH56A2,AMD Ryzen5-7530U/ 16GB/ 512GB SSD/ Win11,Laptop,78299,72,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,16,1920,1200,windows,1
645,hp,HP ZBook Studio G9 16 WUXGA Workstation,12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,Laptop,230060,80,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
646,lenovo,Lenovo IdeaPad 1 82V6005CIN,Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home,Laptop,24190,38,intel,celeron,2,2,4,SSD,256,No secondary storage,0,intel,integrated,FALSE,11.6,1366,768,windows,1
